src,tgt,baseline_src,baseline_tgt,gold_src
"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims",前 保镖 声称 迈克尔 · 杰克逊 为 登上 头条新闻 在 鼻子 上 贴 上 胶带,"Michael Jackson 戴 tape 在他鼻子上，为了上 front pages, 前保镖说。","The ex-bodyguard 声称 Michael Jackson 为了登上头条新闻, 在他的鼻子上贴上胶带。",Michael Jackson 之前戴 tape 在鼻子上，former bodyguard 说是为了上 front pages。
Michael Jackson's former bodyguard has claimed the late singer cultivated some of his eccentricities with the deliberate intention of riling up the media.,迈克尔 · 杰克逊 的 前 保镖 声称 ， 这位 已故 歌手 故意 做出 一些 古怪 行为 ， 目的 是 为了 故意 煽动 媒体 。,Michael Jackson 的前保镖说，这位已故的歌手故意培养了他的怪癖，就是为了惹媒体。,迈克尔·杰克逊 的 前 保镖 say，这位 已故 singer purposely 做一些 古怪 的 行为，目的是要 deliberately stir up 媒体。,Michael Jackson's former bodyguard has claimed that the late singer cultivated 他的 eccentricities with the deliberate intention to ruffle some media.
"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",现为 房地产 开发商 兼 武术 / 舞蹈 连锁店 所有者 的 马特 · 菲 德斯 向 《 大 都市报 》 爆料 称 ， 杰克逊 认为 ， 如果 他 不再 是 公众 眼中 的 “ 谜 ” ， 对 他 个人 的 迷恋 就 会 戛然而止 。,"Matt Fiddes, 现在是一位房地产开发商和武术/舞蹈连锁店的老板, 他告诉Metro说 Jackson 觉得如果他不再是公众眼中的“神秘人物”, 大家对他的迷恋就会停止。",现为房地产开发商兼武术/舞蹈连锁店老板的马特·菲德斯 向《大都市报》爆料说，杰克逊觉得如果他不再是公众眼中的“mystery”，对他的迷恋就会马上 end.,"Matt Fiddes 说 he 认为，公众的 fascination 会停下来 if 他 ceased to be a ""mystery"" 在 public eye."
"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.",据 报道 ， 为了 登上 头条新闻 ， 他会 戴 上 口罩 ， 并 在 自己 的 鼻子 上 贴 上 胶带 ， 以 引发 热议 。,为了上头版，他会戴上手术口罩，还会在鼻子上贴胶带来引起大家的讨论。,"According to the 报道, to get on the headline news, he will wear a mask and stick tape on his nose, to create some 热议 lah.","为了 get front pages, he 会 reportedly don surgical masks, 然后 put tape 在 his nose 上 to spark conversation."
We'll tell you what's true. You can form your own view.,我们 会 告诉 你 真实 的 事 。 你 可以 有 自己 的 观点 。,我们会告诉你什么是事实。你可以自己形成看法。,We will tell you the 真正的事情. You can have your own 观点 lah.,我们会 tell you 什么是 true. 你可以 form 自己的 own view.
"""He knew how to manipulate the media. He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said. ""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands - or tape on his nose was a favourite one. He would say he wanted his life to be the greatest mystery on Earth.""",“ 他 知道 如何 操纵 媒体 。 他 完全 知道 如何 登上 头条新闻 ， ” 做 了 杰克逊   10   年 保镖 的 菲 德斯 说道 。 “ 脸上 戴上 口罩 ， 或者 用 胶带 粘 在 手上 ， 或者 用 胶带 粘 在 鼻子 上 （ 这个 他 最 喜欢 做 ） ， 在   90%   的 情况 下 ， 这种 方法 很 奏效 。 他会 说 ， 他 希望 自己 的 一生 成为 全球 最大 的 谜 。 ”,"""他知道怎样操控媒体。他知道怎样上头版,"" Fiddes, 他是 Jackson 的保镖十年, 说. ""90% 的时间都有效, 比如把面具戴上, 或者在手上贴胶带 - 贴在鼻子上是他最喜欢的做法. 他会说他想让他的生活成为地球上最大的谜.""",“他知道 how to 操纵媒体 lah. 他完全知道 how to 登上头条新闻，” 做了杰克逊 10 年保镖的菲德斯说道。“脸上戴口罩，或者用胶带粘手，或者用胶带粘鼻子（这个是他最喜欢做的）啦，在 90% 的情况下，这种方法很奏效咯。他会说，他希望自己的一生成为全球最大的谜。”,"""90% of the time, he knew how to get the front page. He knew exactly what to do,"" Fiddes, Jackson's bodyguard for 10 years, said. ""He would say 'he want his life to be the greatest mystery on Earth'."""
"He added: ""It's backfired on him now, though, that's the sad thing.""",他 补充 说 ： “ 结果 却 事与愿违 ， 这是 非常 可悲 的 。 ”,他加了：“现在反而 backfired 在他身上，这个真的是 sad 的事情。”,"He补充说: “结果却事与愿违, 这个真的是很可悲啦。”","他 added: ""虽然 it's backfired on him now, 这是 sad thing."""
"Fiddes also addressed allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.",菲 德斯 还 谈到 了 韦德 · 罗布森 和 詹姆士 · 塞夫 查克 针对 杰克逊 提出 的 儿童 性虐待 指控 ， 这些 指控 已 在 备受 争议 的 艾美奖 获奖 纪录片 《 离开 梦幻岛 》 中 播出 。,Fiddes 也回应了 Wade Robson 和 James Safechuck 针对 Jackson 的儿童性虐待指控，这些指控在那个有争议的、拿了 Emmy 奖的纪录片 Leaving Neverland 中被提到。,"菲德斯 also talk about 韦德·罗布森 and 詹姆士·塞夫查克 regarding the 儿童性虐待 allegations against 杰克逊, these allegations already shown in the very controversial 艾美奖 winning documentary 《离开梦幻岛》.","Fiddes 也 addressed 关于 Jackson 的 child sexual abuse allegations, which 是 aired 在那个 award-winning documentary, Leaving Neverland."
Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.,罗布森 和 塞夫 查克 均 声称 ， 他们 小时候 就 受到 杰克逊 虐待 多年 。,Robson 和 Safechuck 都指控他们小时候被 Jackson abuse 了很多年。,Robson 和 Safechuck 都 claim 他们 childhood 时就受到 Jackson 虐待多年。,Robson 和 Safechuck 都说他们在小的时候 被 Jackson abuse 了好多 年。
"Fiddes claimed that ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""",菲 德斯 声称 ： “ 恋童 癖 整个 都 是 胡说八道 … … 这个 家伙 有 多个 女朋友 ， 并且 与莉萨 · 玛丽 · 普雷斯利 有 合法婚姻 ， 这 就是 他 的 生活 。 ”,"Fiddes 说 ""这整个 paedophile 的事情是完全 nonsense... 那个家伙有女朋友，还跟 Lisa Marie [Presley] 有合法的婚姻，这就是他过的生活。""",菲德斯说：“恋童癖全部都是 bullshit…这个家伙有多个 girlfriend， 而且跟 Lisa Marie Presley 有合法 marriage，这就是他的 life。”,"Fiddes 讲 that ""这个 guy 的 life 是这样过的，he 有 legitimate marriage to Lisa Marie [Presley] 和 girlfriends, 所以这个 paedophile 的事情完全是 nonsense..."""
