generated,src,tgt,id,label
"Kia say lah, dat roller coaster thingy called ""Lolo Over Mountain Car"" go close down wait for investigation leh.","Croushore said the ride, known as Rollo Coaster, would be closed pending an investigation.",克劳 肖 表示 ， 该 名为 “ 罗洛 过山车 ” 的 游乐 器械 将 被 关闭 等待 调查 。,37ba79a7-dbac-4898-8593-a0bc24fc6e59,
据报道，瑞典警方在这个夏天开始投入了很多资源来对付 identity theft crimes。,It is reported that the Swedish police have invested massive resources in the fight against identity theft crimes at the beginning of this summer.,据 报道 ， 瑞典 警方 从 今年 夏季 开始 就 投入 了 大量 资源 ， 打击 身份 盗窃 犯罪 。,77b4961b-9c26-4788-b7ca-02c8142354ef,
"Maybe got need research ppl usually first go SIA, cos need dat department give approval leh, before start science research.","Potential researchers typically go to the DEA first, as it grants the license to begin scientific research.",可能 有 需要 的 研究 人员 通常 首先 要 去 缉毒 局 ， 因为 需要 该 部门 为 启动 科学研究 授予 许可证 。,b054815b-04bb-4bf7-a728-55f4bbb6ae1f,
"According to my understanding, 这是我省司法改革后， also 是省“两院”建立以来，第一次由省高级人民法院院长和省人民检察院检察长同 time 出庭，依法履行职务。",It is learned that this is the first time for president of the Provincial Higher People's Court and chief procurator of the Provincial People's Procuratorate to appear in court at the same time to perform their duties in accordance with law since the provincial judicial reform and even the establishment of the provincial higher court and the procuratorate.,据 了解 ， 这是 我省 司法 改革 后 ， 也 是 省 “ 两院 ” 建立 以来 ， 首次 由省 高级人民法院 院长 、 省 人民检察院 检察长 同时 出庭 依法 履行 职务 。,2888a7bf-45b8-4c96-b606-29bd2f2e16e3,
"Lah, some countries or certain countries' part areas report fewer cases of Zika virus infection, but according to current evidence, Zika outbreak not drop yet, whole thing still show no downward trend, leh.","Some countries or regions reported the decreased number of Zika virus infection cases, but the outbreak of Zika has not shown a declining trend in general according to the evidences obtained at the present stage.",部分 国家 或 某些 国家 的 部分 地区 报告 寨 卡 病毒感染 案例 数量 下降 ， 但 根据 现阶段 获得 的 证据 来看 ， 寨 卡 暴发 整体 并未 显出 下降 迹象 。,8ff1da85-d4dd-4c05-9344-b30348311a9e,
火情发生地点 located 在三楼工场对面企业大门，外墙无明显烧焦或黑烟痕迹。救火队伍仍在现场作业，危险情况未完全消除。记者不能进三楼工场探视情况。,"The place where the fire accident happened is located in the workshop on the third floor which is directly opposite to the gate of the enterprise. There is no sign of clear burning or sootiness on the outer wall. Since firefighters are still working on the spot, the dangerous situation has not exterminated completely. The reporter cannot enter the workshop to look into the situation.",失火 处 位于 该 企业 大门 正对 的 车间 三层 ， 外墙 无 明显 灼烧 或 烟熏 迹象 ， 由于 消防队员 仍 在 现场 工作 ， 险情 未 完全 排除 ， 记者 未能 进入 车间 查看 。,94a9c01d-0b86-47bd-9cf8-6d71377aaa64,
"Lah, but now 当 present, need opposition party apply more pressure than before, so citizen vote can happen dis year, but not all people 表现 out same hot passion 然而, now same same leh, now got same hot feeling already.","Yet now, when the opposition needs to apply more pressure than ever to make the referendum happens this year, people across the country are not showing the same energy.",然而 现在 ， 当 需要 反对派 施加 比 以往 更 多 压力 以 在 今年 促成 公民投票 之 时 ， 并非 全国 人民 都 表现 出 同样 的 热情 。,b9188ce8-9f6a-45cf-9055-857a6593733e,
"Dis leh mountain got ""典型"" climate feature lor, “山脚 盛夏 山顶 春，山麓 艳秋 山顶 冰，赤橙 黄绿 看 不够，春夏秋冬 最难分” leh.","The proverb that ""Mountain foot and top always see different seasons - midsummer against spring or autumn against winter, with the four seasons being difficult to distinguish"" has highlighted the unique and typical climatic features of Shennongjia.",“ 山脚 盛夏 山顶 春 ， 山麓 艳秋 山顶 冰 ， 赤橙 黄绿 看 不够 ， 春夏秋冬 最难分 ” 是 神农架 独具 和 典型 的 气候 特征 。,fc22b81d-9e40-451a-ac42-b989275120f5,
"Yunnan rain ah, some place got thunderstorm, short-time strong rain, hail, strong wind, severe weather leh!","The rainfall sustained across much of Yunnan, while some regions had thunderstorm, short-time strong rainfall, hail, gale and other severe convective weather.",而且 云南 大部 雨势 维持 ， 局部地区 还 产生 了 局地 雷暴 、 短时 强降水 、 冰雹 、 大风 等 强对流 性 天气 。,4f4a3790-2661-40e3-b11f-08cb2c151142,
韩联社 10 日 报道，很多 原先 专门 招待 政界人士 和 高级 公务员 的 韩国 高档 餐厅 现在 面临 很大 挑战。,"According to the report by Yonhap on August 10, this stipulation poses a challenge to many first-class Korean restaurants that were originally going to exclusively entertain political figures and senior civil servants.",韩联社 10 日 报道 ， 这 条 规定 让 不少 原先 专门 招待 政界人士 和 高级 公务员 的 韩国 高档 餐厅 面临 挑战 。,abeb7d24-1a9c-4727-9357-98134c2cc548,
