src,tgt,baseline_src,baseline_tgt,gold_src,gold_tgt
"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims",前 保镖 声称 迈克尔 · 杰克逊 为 登上 头条新闻 在 鼻子 上 贴 上 胶带,"Michael Jackson 戴 tape 在他的鼻子上, 为了上头版, 前保镖说。",The former bodyguard 声称 Michael Jackson 为了登上头条新闻 在鼻子上贴上胶带.,Michael Jackson 戴胶带在鼻子上是为了上头版，前保镖这样说。,"The former 保镖 claim that Michael Jackson 为登上头条新闻, 他在鼻子上贴上胶带."
Michael Jackson's former bodyguard has claimed the late singer cultivated some of his eccentricities with the deliberate intention of riling up the media.,迈克尔 · 杰克逊 的 前 保镖 声称 ， 这位 已故 歌手 故意 做出 一些 古怪 行为 ， 目的 是 为了 故意 煽动 媒体 。,Michael Jackson 的前保镖说这位已故歌手故意培养一些他的怪癖，目的就是要惹媒体。,迈克尔·杰克逊 的前保镖 say，这位已故歌手 purposely 做一些古怪行为，目的就是要 stir up 媒体。,Michael Jackson's former bodyguard has 声称 that the late singer cultivated 他的 eccentricities with the deliberate intention to ruffle up the media.,迈克尔 · 杰克逊 的 前 保镖 声称 ， 这位 已故 的 歌手 故意 做出 一些 古怪 行为 ， 目的 是 为了 故意 煽动 媒体 。
"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",现为 房地产 开发商 兼 武术 / 舞蹈 连锁店 所有者 的 马特 · 菲 德斯 向 《 大 都市报 》 爆料 称 ， 杰克逊 认为 ， 如果 他 不再 是 公众 眼中 的 “ 谜 ” ， 对 他 个人 的 迷恋 就 会 戛然而止 。,"Matt Fiddes, 现在是一个房产开发商，也是一个武术/舞蹈连锁的老板, 他跟Metro说，Jackson相信如果他不再在公众眼中保持一个“神秘”的形象，大家对他的迷恋就会停止。",现在作为房地产开发商兼武术/舞蹈连锁店老板的马特·菲德斯向《大都市报》爆料说，杰克逊觉得，如果他不再是公众眼中的“mystery”，对他个人的迷恋就会突然停掉。,"Matt Fiddes, 现在是房地产开发商和武术/舞蹈连锁的老板, 告诉Metro, Jackson相信 他的魅力会停止 只要 he ceased to be a ""mystery"" 在公众 eye.",现为房地产开发商兼武术/舞蹈连锁店所有者的马特·菲德斯向《大都市报》爆料称，杰克逊认为， 如果 他 不再 是 公众眼中的 “ 谜 ” ，对 他 个人的迷恋 就会 戛然而止。
"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.",据 报道 ， 为了 登上 头条新闻 ， 他会 戴 上 口罩 ， 并 在 自己 的 鼻子 上 贴 上 胶带 ， 以 引发 热议 。,要上头版，他 reportedly 会戴外科口罩，还用胶带贴住鼻子，来引起大家的注意。,"According to reports, 为了 to get on the headlines, he will 戴上 mask, and 在自己 nose 上贴胶带, to create some hot discussion.","为了 get front pages, he reportedly would don surgical masks, 然后 put tape 在 his nose 来 spark conversation.",据报道，为了登上头条新闻，他会戴上口罩，鼻子上贴上胶带，以引发热议。
We'll tell you what's true. You can form your own view.,我们 会 告诉 你 真实 的 事 。 你 可以 有 自己 的 观点 。,我们会告诉你什么是 true. 你可以自己形成你的 view.,We will 告诉你 the real thing. You can have your own 观点 lah.,我们会 tell 你 what's true. 你 can 自己 form 你的 own view.,我们 会 告诉 你 真实 的 事。 你 可以 有 自己 的 观点。
"""He knew how to manipulate the media. He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said. ""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands - or tape on his nose was a favourite one. He would say he wanted his life to be the greatest mystery on Earth.""",“ 他 知道 如何 操纵 媒体 。 他 完全 知道 如何 登上 头条新闻 ， ” 做 了 杰克逊   10   年 保镖 的 菲 德斯 说道 。 “ 脸上 戴上 口罩 ， 或者 用 胶带 粘 在 手上 ， 或者 用 胶带 粘 在 鼻子 上 （ 这个 他 最 喜欢 做 ） ， 在   90%   的 情况 下 ， 这种 方法 很 奏效 。 他会 说 ， 他 希望 自己 的 一生 成为 全球 最大 的 谜 。 ”,“他知道怎样利用媒体。他很清楚怎样上头条，”Fiddes，曾是Jackson的保镖10年，讲。“90%的时间都有效，戴面具，或者用胶带在手上 - 或者用胶带在鼻子上是他最喜欢的做法。他会说他想要让他的生活成为地球上最大的谜。”,"“ He know how to manipulate media lah. He totally know how to make it to the headlines one,” 说 了 做 了 杰克逊 10 年 保镖 的 菲 德斯. “ Put on mask on face, or use tape stick on hand, or even tape on nose (this one he like to do the most), 在 90% 的情况下, this method very effective one. He will say, he希望自己 的 一生 成为 全球 最大 的 谜.”","""他 knew how to manipulate the media. '90% of the time it worked, by putting a mask on his face, or sticky tape on his hands - or tape on his nose was a favourite one,' he said. 'He wanted his life to be the greatest mystery on Earth.'""",“ He 知道 如何 操纵 媒体。 He 完全 知道 如何 登上 头条新闻， ” 做 了 杰克逊 10 年 保镖 的 菲 德斯 说道。 “脸上 戴上 口罩，或者 用 胶带 粘 在 手上，或者 用 胶带 粘 在 鼻子 上（这个 他 最 喜欢 做），在 90% 的 情况 下，这种 方法 很 奏效。”
"He added: ""It's backfired on him now, though, that's the sad thing.""",他 补充 说 ： “ 结果 却 事与愿违 ， 这是 非常 可悲 的 。 ”,他加了说：“现在这个事情反而对他不利，真的是 sad thing。”,"He add on say: “结果却事与愿违, 这个真的非常可悲 leh.”","He added: ""It's backfired on him now, 这个是 sad thing.""",他 补充 说：“结果却事与愿违，这是非常可悲的。”
"Fiddes also addressed allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.",菲 德斯 还 谈到 了 韦德 · 罗布森 和 詹姆士 · 塞夫 查克 针对 杰克逊 提出 的 儿童 性虐待 指控 ， 这些 指控 已 在 备受 争议 的 艾美奖 获奖 纪录片 《 离开 梦幻岛 》 中 播出 。,Fiddes 也回应了 Wade Robson 和 James Safechuck 对 Jackson 的儿童性虐待指控，这些指控在那个有争议的、赢得艾美奖的纪录片《Leaving Neverland》中被提出来。,"菲德斯 also talk about 韦德·罗布森 and 詹姆士·塞夫查克 regarding the 儿童性虐待 allegations against 杰克逊, these allegations 已经在 the controversial 艾美奖 winning documentary 《离开梦幻岛》播出过。",Fiddes 也 addressed 了关于 Jackson 的 child sexual abuse 的指控，这些指控在那个 award-winning 的 documentary Leaving Neverland 里被 aired。,菲 德斯 还 谈到 了 韦德 · 罗布森 和 詹姆士 · 塞夫 查克 针对 杰克逊 提出 的 儿童 性虐待 指控，这些 指控 已 在 备受 争议 的 艾美奖 获奖 纪录片 《 离开 梦幻岛 》 中 播出。
Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.,罗布森 和 塞夫 查克 均 声称 ， 他们 小时候 就 受到 杰克逊 虐待 多年 。,Robson 和 Safechuck 都说他们小时候被 Jackson abuse 了很多年。,Robson and Safechuck 都 claim 他们小时候就被 Jackson 虐待了很多年。,Robson 和 Safechuck 都声称他们在儿童时期被 Jackson 欺凌 了很多 years.,"罗布森 and 塞夫 查克 both claim, 他们 小时候 就 受到 杰克逊 虐待 多年."
"Fiddes claimed that ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""",菲 德斯 声称 ： “ 恋童 癖 整个 都 是 胡说八道 … … 这个 家伙 有 多个 女朋友 ， 并且 与莉萨 · 玛丽 · 普雷斯利 有 合法婚姻 ， 这 就是 他 的 生活 。 ”,"Fiddes 讲 ""这个 paedophile 的事情完全是 nonsense... 这个人有女朋友，还跟 Lisa Marie [Presley] 有合法婚姻，这就是他过的生活。""","菲德斯 say: “恋童癖 完全是 nonsense lah... 这个 guy 有 multiple girlfriends, 而且还和莉萨·玛丽·普雷斯利 有合法婚姻, 这就是他的 life 咯。”","Fiddes 讲过 ""这个 paedophile 的事情完全是 nonsense... 那个 guy 有 girlfriends 还有一个 legitimate marriage to Lisa Marie [Presley], 这就是他过的 life.""",菲 德斯 声称：“这个家伙有多个女朋友，并且与莉萨·玛丽·普雷斯利有合法婚姻，这就是他的生活。”
