src,tgt_translated,baseline_src,silver_src
"4 tacos + 1 rajas burrito, right?",四個 塔 科斯 ＋ 一個 拉 哈斯布 律托,"Four tacos加one rajas burrito, right?","4tacos + 1rajasburrito, right?"
Are you still playing with gautham?,你 还 在 和 高 atham 一起 玩 吗 ？,Still playing with gautham?,Still playing with gautham?
"Hey shwetu, am going back home. Have work. Will catch you tomorrow..get well soon! :-)",哈瑞舒图 ， 我 回家 了 ， 明天 见 ！ 祝 你 早日康复 ！,"Shwetu, am going back home. Have work. Will catch you tomorrow..get well soon! :-","嘿Shwetu，我回home去。work有。明天catch见。get well soon! :-)

I'm going backhome. I have work. I'll catch you tomorrow. Get well soon! :-)

嘿Shwetu，我回home去。work有。明天catch见。get well soon! :-)

I'm going backhome. I have work. I'll catch you tomorrow. Get well soon! :-)

嘿Shwetu，我回home去。work有。明天catch见。get well soon! :-)

I'm going backhome. I have work. I'll catch you tomorrow. Get well soon! :-)

嘿Shwetu，我回home去。work有。明天catch见。get well soon! :-)

I'm going backhome. I have work. I'll catch you tomorrow. Get well soon! :-)

嘿Shwetu，我回home去。work有。明天catch见。get well soon! :-)

I'm going backhome. I have work. I'll catch you tomorrow. Get well soon! :-)

嘿Shwetu，我回home去。work有。明天catch见。get well soon! :-)

I'm going backhome. I have"
"Sorry, I'll call later",我后 会 再 叫,"Sorry, I'll call later shall be sorry, I'll call later",抱歉，稍后再call
Ya! Bout  <DECIMAL>  reach,哇 ！ 差不多 < 0.5 > 了,Ya! bout 5 reach,Yay! bout to reach <decimal>
Aiyo u just come lor.,哎呀 ， 你 就 来 啰 了 。,"Aiyo, u just come lor.","Aiyo, u just come lor."
Just after you smsed me.,你 刚才 发短信 给 我 后,Just after you SMSed me.,Just after you smsed me. You shall just be just smsing me.
"hey guys, free this sat for ktv?",嗨   Guys ， 周六 免费 ktv 吗 ？,"Hey guys, free this sat for ktv?","Hey guys, free this Sat for ktv?"
Sprite with lemon tea,檸檬茶 . Sprite,柠檬茶的Spriteshall be nothing but柠檬茶,Lemon茶与Sprite柠檬茶shall be mixed together
k. Mayb i will pop by in lib coz gotta return books,可能 我会 去 图书馆 ， 因为 我 需要 还书,也许我可能pop by in图书馆because我要return books,Popping by the library mayb coz gotta return books k.
Can can. I woke up already.,可以 可以 。 我 已经 醒 了 。,Can already. I woke up already.,Can can. I woke up already.
"De de, way time u all going?",你好 ， 大家 都 去 哪儿 ？,"De de, way time you all going?",德德，哇时间你们去去？
