method_1,direction_1,model_1,method_2,direction_2,model_2,input_id
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,290
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,992
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,506
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,777
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,916
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,160
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,816
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,953
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,241
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,421
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,460
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,772
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,145
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,636
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,125
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,916
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,319
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,946
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,318
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,50
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,256
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,522
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,809
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,526
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,777
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,232
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,199
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,127
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,274
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,669
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,669
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,409
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,724
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,260
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,504
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,785
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,380
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,873
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,699
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,779
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,565
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,229
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,522
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,981
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,731
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,627
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,997
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,590
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,732
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,21
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,465
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,332
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,134
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,200
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,884
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,884
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,464
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,396
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,717
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,446
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,499
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,288
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,428
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,532
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,973
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,735
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,424
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,689
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,78
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,259
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,320
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,203
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,692
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,10
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,716
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,779
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,873
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,846
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,371
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,256
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,650
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,687
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,673
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,266
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,672
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,836
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,933
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,416
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,411
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,538
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,641
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,842
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,994
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,911
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,874
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,502
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,858
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,578
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,11
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,289
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,318
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,390
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,959
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,701
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,60
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,1000
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,645
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,822
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,892
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,444
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,262
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,137
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,93
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,326
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,628
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,216
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,213
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,270
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,145
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,97
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,731
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,133
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,411
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,245
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,539
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,805
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,151
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,17
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,498
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,439
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,429
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,178
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,108
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,2
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,724
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,769
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,168
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,979
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,297
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,614
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,700
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,810
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,811
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,225
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,829
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,481
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,900
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,153
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,282
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,223
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,920
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,508
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,136
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,618
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,757
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,133
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,864
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,534
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,923
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,90
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,871
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,431
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,398
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,644
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,210
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,121
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,255
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,217
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,632
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,716
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,945
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,611
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,429
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,852
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,912
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,552
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,340
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,369
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,547
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,718
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,713
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,822
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,377
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,423
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,80
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,532
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,119
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,587
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,909
