src,tgt,src_translated,tgt_translated,baseline_src,baseline_tgt,silver_src,silver_tgt,gold_src,gold_tgt
"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims",前 保镖 声称 迈克尔 · 杰克逊 为 登上 头条新闻 在 鼻子 上 贴 上 胶带,Ex-bodyguard claim Michael Jackson stick tape on nose to get media attention,迈克尔 · 杰克逊 穿着 鼻子 上 带有   b ă ng 带 的 面具 ， 前 保镖 声称,"Michael Jackson  tie jiao dai zai bi zi shang shi wei le shang tou tiao ,  qian bao biao shuo .",The former bodyguard  sheng cheng  Michael Jackson  wei le deng shang tou tiao xin wen   zai bi zi shang tie shang jiao dai .,Michael Jackson  de  former bodyguard  shuo ta  wore tape  zai bi zi shang  just to get front pages.  zhe zhen shi ge you qu de  claims!,qian   bao biao   sheng cheng   mai ke er  ·  jie ke xun   wei   le   deng shang   tou tiao xin wen ， jing ran   zai   bi zi   shang   tie   jiao dai 。,Michael Jackson  dai  tape  zai bi zi shang ， xiang yao shang tou ban ， qian bao biao shuo de 。,qian bao biao  say  mai ke er · jie ke xun   wei le deng shang tou tiao xin wen ， jing ran zai bi zi shang tie shang jiao dai 。
Michael Jackson's former bodyguard has claimed the late singer cultivated some of his eccentricities with the deliberate intention of riling up the media.,迈克尔 · 杰克逊 的 前 保镖 声称 ， 这位 已故 歌手 故意 做出 一些 古怪 行为 ， 目的 是 为了 故意 煽动 媒体 。,Michael Jackson's ex-bodyguard claim sayah dat late singer do some weird things on purpose to stir up media lah.,迈克尔 · 杰克逊 的 前 保镖 声称 ， 已故 歌手 以 特意 挑衅 媒体 的 意图 培养 了 一些 其 奇特 的 个性 。,Michael Jackson  de qian bao biao shuo ， zhe wei yi gu de ge shou gu yi pei yang yi xie ta de gu guai xing wei ， jiu shi yao re mei ti 。,"mai ke er · jie ke xun 's  qian bao biao  say, this  yi gu  singer purposely  zuo yi xie gu guai xing wei ,  shi wei le gu yi  stir up  mei ti 。","Michael Jackson's former bodyguard  jiang guo , the late singer purposely cultivated some of his eccentricities  lai  riling up the media.",mai ke er  ·  jie ke xun   de   qian   bao biao   sheng cheng ， zhe wei yi gu ge shou   gu yi   zuo chu yi xie gu guai xing wei ， mu di shi wei le   gu yi   shan dong   mei ti 。,Michael Jackson's former bodyguard has claimed that the late singer cultivated  ta de  eccentricities with the deliberate intention to ruffle up the media.,mai ke er  ·  jie ke xun   de   qian   bao biao   sheng cheng ，  zhe wei   yi gu   ge shou   gu yi   zuo chu   yi xie   gu guai   xing wei ，  mu di shi   wei le   gu yi   shan dong   mei ti 。
"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",现为 房地产 开发商 兼 武术 / 舞蹈 连锁店 所有者 的 马特 · 菲 德斯 向 《 大 都市报 》 爆料 称 ， 杰克逊 认为 ， 如果 他 不再 是 公众 眼中 的 “ 谜 ” ， 对 他 个人 的 迷恋 就 会 戛然而止 。,"Matt Fidler, who's now da owner of both property dev company and chain of martial arts/dance studios, reveal to The Urban Wire dat Jackson think if he's not da ""mystery man"" to da public, his own fascination wit himself will die out.",马特 · 菲 德斯 （ 一名 房地产 开发商 和 一条 连锁 的 武术 / 舞蹈 馆 的 主   s ở   h ữ u ） 在 接受 《 大都会 》 采访 时说 ， 杰克逊 认为 对 他 的 个人 形象 的 兴趣 将会 停止 ， 如果 他 停止 在 公众 的 视野 中 成为 “ 神秘 人物 ” 。,"Matt Fiddes,  xian zai shi yi ge fang di chan kai fa shang he wu shu / wu dao lian suo dian de lao ban ,  ta gen Metro shuo ，Jackson  jue de ru guo ta bu zai shi gong zhong yan zhong de “ shen mi ren wu ”， da jia dui ta de mi lian jiu hui ting zhi 。",xian zai zuo wei fang di chan kai fa shang jian wu shu / wu dao lian suo dian lao ban de ma te · fei de si ， xiang 《 da du shi bao 》 bao liao shuo ， jie ke xun ren wei ， ru guo ta bu zai shi gong zhong yan zhong de “mystery”， dui ta ge ren de mi lian jiu hui tu ran ting zhi 。,"Matt Fiddes  xian zai shi yi ge  property developer  he  martial arts/dance chain  de  owner， ta gao su  Metro，Jackson  jue de ru guo  he ceased to be a ""mystery"" in the public eye， na  fascination around his persona  jiu hui  stop.",xian wei fang di chan kai fa shang jian wu shu / wu dao lian suo dian suo you zhe de ma te · fei de si xiang 《 da du shi bao 》 bao liao cheng ， jie ke xun ren wei ， ru guo ta bu zai shi gong zhong yan zhong de “ mi ”， dui ta ge ren de   mi lian   jiu hui   jia ran er zhi 。,"Matt Fiddes,  xian zai shi yi ge  property developer  he  martial arts/dance chain  de lao ban ,  gao su  Metro  shuo  he  ren wei ru guo  he  ji xu bao chi yi ge  ""mystery""  zai gong zhong de  eye.  de hua , fascination  jiu bu hui ting zhi .",xian wei fang di chan kai fa shang jian wu shu / wu dao lian suo dian suo you zhe de ma te · fei de si xiang 《 da du shi bao 》 bao liao cheng ， jie ke xun ren wei ， ru guo ta   bu zai   shi gong zhong yan zhong de “ mi ”， dui ta de mi lian jiu hui   jia ran er zhi 。
"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.",据 报道 ， 为了 登上 头条新闻 ， 他会 戴 上 口罩 ， 并 在 自己 的 鼻子 上 贴 上 胶带 ， 以 引发 热议 。,"Himself will wear mask, tape nose with sticky tape, so dat he can make headlines lah.",他据 报道 会 戴 上 口罩 ， 贴 上 鼻子 上 的 胶带 ， 以此 来 引起 话题 。,"yao shang tou ban ,  ta hui dai shang  surgical masks,  ran hou zai bi zi shang tie jiao dai lai yin qi hua ti 。","According to the  bao dao , to deng shang tou tiao xin wen , he will wear a kou zhao  and stick jiao dai  on his bi zi  to yin fa re yi .","yao shang  front pages, he  hui dai  surgical masks  he  put tape on  ta de  nose  lai  spark conversation.","ju  reports,  wei le deng shang tou tiao xin wen ,  ta hui dai shang kou zhao ,  bing zai zi ji   de bi zi shang tie shang jiao dai ,  yi yin fa   re yi .","wei le  get front pages, he reportedly would don surgical masks, put tape  zai ta de  nose,  yi  spark conversation.",ju bao dao ， wei le deng shang   tou tiao xin wen ，  ta hui dai shang   kou zhao ，  bing zai zi ji de   bi zi   shang tie shang   jiao dai ，  yi yin fa   re yi 。
We'll tell you what's true. You can form your own view.,我们 会 告诉 你 真实 的 事 。 你 可以 有 自己 的 观点 。,"We tell you straight lah, you got your own opinion.",我们 告诉 你 真相 ， 你 自己 去 形成 自己 的 观点 。,wo men hui gao su ni shen me shi zhen shi de 。 ni ke yi zi ji xing cheng kan fa 。,We will tell you  zhen shi de shi . You can have your own  guan dian  lah.,wo men hui gao su ni  what's  zhen zheng de 。 ni ke yi  form  ni zi ji de  view.,wo men   hui   gao su   ni   zhen shi   de   shi 。  ni   ke yi   you   zi ji   de   guan dian 。,wo men hui  tell  ni  what's  zhen zheng de 。 ni ke yi  form  ni zi ji de  view。,wo men   hui   gao su   ni   zhen shi   de   shi 。  ni   ke yi   you   zi ji   de   guan dian 。
"""He knew how to manipulate the media. He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said. ""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands - or tape on his nose was a favourite one. He would say he wanted his life to be the greatest mystery on Earth.""",“ 他 知道 如何 操纵 媒体 。 他 完全 知道 如何 登上 头条新闻 ， ” 做 了 杰克逊   10   年 保镖 的 菲 德斯 说道 。 “ 脸上 戴上 口罩 ， 或者 用 胶带 粘 在 手上 ， 或者 用 胶带 粘 在 鼻子 上 （ 这个 他 最 喜欢 做 ） ， 在   90%   的 情况 下 ， 这种 方法 很 奏效 。 他会 说 ， 他 希望 自己 的 一生 成为 全球 最大 的 谜 。 ”,"“Dia know how to play media leh. Dia know how to get on front page sure. Wear mask on face, or stick tape on hand, or on nose (he like dis one most), 90% of time it work lor. He say he want his own life to be biggest mystery in world.”",费 德斯 （ Fiddes ） 说 ： “ 他 知道 如何 操控 媒体 。 他 知道 精确 地 如何 获得 前页 的 头条新闻 。 ” 他 身边 的 保镖 10 年 说 ： “ 90% 的 时间 都 成功 了 ， 通过 戴面具 ， 或者 把 胶带 粘 在 手上 ， 或者 把 胶带 粘 在 鼻子 上 他 最 喜欢 用 这个 方法 。 他会 说 他 想 让 自己 的 生活 成为 地球 上 最大 的 谜团 。 ”,"“ ta zhi dao zen me cao kong mei ti 。 ta zhi dao zen yang cai neng shang tou ban ，” Fiddes, Jackson  de bao biao shi nian ,  shuo 。“90% de shi jian dou you xiao ,  bi ru zai lian shang dai mian ju ,  huo zhe zai shou shang tie jiao dai  -  tie zai bi zi shang shi ta zui xi huan de yi ge 。 ta hui shuo ta xiang yao ta de sheng huo cheng wei di qiu shang zui da de mi 。”","“ ta  know how to  cao zong  media。He fully know how to  deng shang  headlines,”  zuo le jie ke xun  10  nian bao biao de fei de si  said. “ lian shang dai shang kou zhao ， huo zhe yong jiao dai zhan zai shou shang ， huo zhe yong jiao dai zhan zai bi zi shang （ zhe ge shi ta zui xi huan zuo de ）， zai  90%  de qing kuang xia ， zhe zhong fang fa hen you xiao 。 ta hui shuo ， ta xi wang zi ji de yi sheng cheng wei quan qiu zui da de mi 。”",""" ta zhi dao zen me cao kong mei ti 。 ta zhi dao ru he rang ta de  life  shang tou tiao ,"" Fiddes, Jackson  de bao biao shuo . ""90%  de shi jian dou you xiao ,  bi ru zai lian shang dai mian ju ,  huo zhe shou shang tie jiao dai  -  huo zhe bi zi shang tie jiao dai shi ta zui xi huan de .  ta chang shuo ta xiang yao ta de  life  cheng wei di qiu shang zui da de mi tuan .""",“ ta   zhi dao   ru he   cao zong   mei ti 。  ta   wan quan   zhi dao  90%  de   qing kuang   xia   zhe zhong   fang fa   hen   zou xiao 。”  zuo   le   jie ke xun  10  nian   bao biao   de   fei   de si   shuo ：“ zhe ge   ta   hui   shuo ，  ta   xi wang   zi ji   de   yi sheng   cheng wei   quan qiu   zui da   de   mi 。”,""" ta  knew  ru he  manipulate the media. ""He knew"" exactly  zen yang  to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said. ""90%  de  time  ta  worked, by putting a mask on his face, or sticky tape on his hands -  huo zhe  tape on his nose  shi yi ge  favourite one. He would say he wanted his life to be the greatest mystery on Earth.""",“ ta   wan quan   zhi dao   ru he   cao zong   mei ti ， deng shang   tou tiao xin wen 。”  zuo le jie ke xun  10  nian   bao biao de   fei   de si   shuo dao 。 “ zai  90%  de qing kuang xia ， zhe zhong fang fa hen zou xiao 。 ta hui shuo ，‘ ta   xi wang   zi ji   de   yi sheng   cheng wei   quan qiu   zui da   de   mi ’。”
"He added: ""It's backfired on him now, though, that's the sad thing.""",他 补充 说 ： “ 结果 却 事与愿违 ， 这是 非常 可悲 的 。 ”,"""Turn out opposite, very sad leh.""",他 补充 道 ： “ 现在 回火 了 ， 不过 这 是 个 悲伤 的 事 。 ”,"ta jia le ju : "" xian zai fan er shi  backfired on him,  zhe zhen shi  sad  de shi qing 。""","He bu chong shuo : "" jie guo que shi yu yuan wei ,  zhe ge zhen de hen ke bei ge 。""","He added: "" xian zai ta  backfired on him,  zhen de shi  sad thing.""","He  bu chong   shuo : ""The result  que   shi yu yuan wei ,  zhe shi   ke bei   de 。”","He added: "" xian zai ta  backfired on him, he very poor thing.""  That's the sad thing.""",ta   bu chong   shuo ：“ jie guo que shi yu yuan wei ， zhe shi fei chang ke bei de 。”
"Fiddes also addressed allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.",菲 德斯 还 谈到 了 韦德 · 罗布森 和 詹姆士 · 塞夫 查克 针对 杰克逊 提出 的 儿童 性虐待 指控 ， 这些 指控 已 在 备受 争议 的 艾美奖 获奖 纪录片 《 离开 梦幻岛 》 中 播出 。,"Fedes also talk bout tis child sex abuse allegations against Jackson by Wade Robson and James Safechuck, which was show in d kontroversial Oscar-winning docu 'Leaving Neverland'.",Fiddes 还 讨论 了 对 杰克逊 的 指控 ， 包括 由 Wade   Robson 和 James   Safechuck 提出 的 对 儿童 性侵犯 的 指控 ， 这些 指控 在 争议 的 和 获奖 的 纪录片 《 离开 neverland 》 中 播出 。,Fiddes  ye hui ying le  Wade Robson  he  James Safechuck  zhen dui  Jackson  de er tong xing nve dai zhi kong ， zhe xie zhi kong zai na ge you zheng yi de 、 ying de ai mei jiang de ji lu pian  Leaving Neverland  zhong bei ti chu lai 。,"fei de si  also talked about  wei de · luo bu sen  and  zhan mu shi · sai fu cha ke  regarding the  er tong xing nve dai  accusations against  jie ke xun , which  yi jing zai  that controversial  ai mei jiang  winning documentary 《 li kai meng huan dao 》  bo chu 。","Fiddes  ye  addressed the allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which aired in the controversial, Emmy award-winning documentary Leaving Neverland.",fei   de si   hai   tan dao   le   wei de  ·  luo bu sen   he   zhan mu shi  ·  sai fu   cha ke   zhen dui   jie ke xun   ti chu   de   er tong   xing nve dai   zhi kong ， zhe xie   zhi kong   yi   zai   bei shou   zheng yi   de   ai mei jiang   huo jiang   ji lu pian  《  li kai   meng huan dao  》  zhong   bo chu   le 。,"Fiddes  ye  addressed  you guan er tong xing nve dai de zhi kong  against Jackson,  you  Wade Robson  he  James Safechuck  ti chu de ， zhe xie dou shi zai na bu  controversial, award-winning  de  documentary Leaving Neverland.",fei   hai   tan dao   le   de si   guan yu   wei de  ·  luo bu sen   he   zhan mu shi  ·  sai fu   cha ke   zhen dui   jie ke xun   de   er tong   xing nve dai   zhi kong ， zhe xie   zhi kong   yi   zai   bei shou   zheng yi   de   huo jiang   ji lu pian  《  li kai   meng huan dao  》  zhong   bo chu 。
Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.,罗布森 和 塞夫 查克 均 声称 ， 他们 小时候 就 受到 杰克逊 虐待 多年 。,Robeson and Seifert both claim they suffered years of abuse by Jackson when they were young.,Robson 和 Safechuck 都 声称 他们 在 年少 时期 多年 受到 杰克逊 的 虐待 。,Robson  he  Safechuck  dou zhi kong ta men zai xiao shi hou bei  Jackson abuse  le hao duo nian 。,Robson  he  Safechuck  dou  claim  ta men xiao shi hou jiu bei  Jackson  nve dai le hen duo nian 。,Robson  he  Safechuck  dou  allege  ta men  (they)  xiao shi hou bei  Jackson abuse  le hao duo nian 。,luo bu sen   he   sai fu   jun   sheng cheng ，  ta men   xiao shi hou   jiu   shou dao   jie ke xun   de   nve dai   duo nian 。,Robson  he  Safechuck  dou sheng cheng ta men zai er tong shi qi bei  Jackson  qi fu le hao duo  years.,"luo bu sen  and  sai fu   cha ke  both claim,  ta men xiao shi hou jiu shou dao le jie ke xun de nve dai duo nian ."
"Fiddes claimed that ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""",菲 德斯 声称 ： “ 恋童 癖 整个 都 是 胡说八道 … … 这个 家伙 有 多个 女朋友 ， 并且 与莉萨 · 玛丽 · 普雷斯利 有 合法婚姻 ， 这 就是 他 的 生活 。 ”,"Federici claim ""Paedophilia whole thing is bullsh*t...this guy got many girlfriend, and he even marry Lisa Marie Presley legit, that's his life. """,菲 德斯 声称 “ 这个 整个 的 性恋 儿童 的 问题 完全 是 无稽之谈 … 这个 人有 女友 ， 并 有 合法 的 婚姻 与 李萨 · 马里 · 普雷斯利 （ Lisa   Marie   Presley ） ， 这 就是 他 生活 的 方式 。 ”,"Fiddes  jiang  "" zhe ge  paedophile  de shi zhen shi  nonsense...  na ge jia huo you nv peng you ， hai gen  Lisa Marie [Presley]  jie guo hun ， zhe jiu shi ta sheng huo de fang shi 。""","fei de si  say: “ lian tong pi  totally  shi hu shuo ba dao ... this guy got  duo ge nv peng you ,  er qie gen li sa · ma li · pu lei si li you he fa hun yin ,  zhe jiu shi ta de sheng huo 。”","Fiddes  jiang guo  ""this whole paedophile thing  shi  complete nonsense...  na ge jia huo you  girlfriends  hai you yi ge  legitimate marriage to Lisa Marie [Presley],  zhe jiu shi ta sheng huo de fang shi 。""",fei   de si   sheng cheng ：“ lian tong pi   zheng ge   dou   shi   hu shuo ba dao …  zhe ge   jia huo   you   duo ge   nv peng you ，  bing qie   yu li sa  ·  ma li  ·  pu lei si li   you   he fa hun yin ，  zhe   jiu shi   ta   de   sheng huo 。”,"Fiddes claimed that ""this whole paedophile thing  shi  complete nonsense...  zhe ge  guy  you  girlfriends  he yi ge  legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""",fei de si   sheng cheng : “ zhe ge jia huo   you   duo ge nv peng you ， bing qie   yu li sa · ma li · pu lei si li   you   he fa hun yin ， zhe   jiu shi   ta   de   sheng huo 。”
