id,src,tgt,generated,method,model,direction,comet,bertscore,GPT_a,GPT_f,human_accuracy,human_fluency,human_code-mixedness
b19b9f8c-4c75-4429-b7e0-beef5506a4f5,"""I would've preferred it to have been a completely clean Games,"" the 20-year-old Welsh swimmer said afterwards.",事后 这位 来自 威尔士 的 20 岁 游泳 选手 表示 ： “ 我 宁愿 这是 一场 完全 干净 的 比赛 。 ”,"""我比较希望这次比赛是一个完全干净的 Games,"" 这位20岁的威尔士游泳选手事后说。",baseline,full_gpt-4o-mini,src,0.6799136102199554,0.8121673166751862,2,2,3,3,1
2c00a228-3a21-4828-ac93-00f47030fd68,"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"""English 不是我的主要语言，所以我不太懂你们的世界,"" Rifo 从他常戴的黑色面具后面说。",baseline,full_gpt-4o-mini,src,0.6936849355697632,0.8025732934474945,3,3,3,3,1
b8c77960-a306-48ad-9c3a-baa4d5bb1746,"""I want a referendum, but I won't protest for security reasons,"" said Deyan.",德扬 表示 ： “ 我 希望 进行 公民投票 ， 但是 为了 安全 起见 我 不会 进行 抗议 。 ”,"""Deyan说, '我想要公投, 可是为了安全我不会去抗议.'""",baseline,full_gpt-4o-mini,src,0.7887815833091736,0.8168105185031891,2,2,3,3,1
6811326f-153d-496e-ace0-bb26fe148f3f,"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,因为行业里常常有 absconding with funds 的案例，所以 P2P 平台的 hue loan loss provisions 变成了一个重要的方法来 stabilize investors' confidence.,baseline,full_gpt-4o-mini,src,0.5600185245275497,0.8236472308635712,2,2,3,3,3
cc575fe5-3013-41b9-9b30-a59e381d2d91,"""I'm less confident in the stock market above 3,000 points, and feel jittery about the expansion of new share issue"", elder stock investor Mr Chen told journalists of Wuhan Evening News.",股民 老 陈对 武汉 晚报 记者 说 ： “ 我 对 3000 点 之上 的 行情 信心 不足 ， 对于 大 扩容 发 新股 还是 怕怕 的 。 ”,"“我对股市超过 3,000 点的信心比较低，觉得新股发行扩张让我很 jittery,” 老股民陈先生对武汉晚报的记者说。",baseline,full_gpt-4o-mini,src,0.6420653760433197,0.809253066778183,2,2,3,3,3
a841cb8a-6152-44f1-9c5e-bdc32138ce3a,"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,即使河流和桥之间有超过四米的落差，遇到 flash floods 的时候，水还是会流过桥。,baseline,full_gpt-4o-mini,src,0.6651063561439514,0.8085592687129974,2,2,3,3,2
416baa32-b251-40fa-9267-0d52cc19b280,"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”",政府的车，通常都在 active maintenance 而且 condition 也很好。如果价钱合适的话，我想买一辆二手车来将就用。,baseline,full_gpt-4o-mini,src,0.6525270640850067,0.8084502518177032,2,2,3,3,2
984b9c1c-088d-4137-8689-f01c1bc2ce13,"""In contrast with the relative concentration of residences in cities, the residences of Jining in the future are expected to be located all around the city and the traditional idea about school districts will be broken.""",“ 与 以往 的 城市 居住区 相对 集中 相比 ， 将来 济宁 的 居住区 会 遍布 城市 的 四周 ， 而 传统 的 学区 概念 也 将 被 打破 。 ”,跟城市的住宅集中相比，未来济宁的住宅预计会遍布整个城市，传统的学区观念会被打破。,baseline,full_gpt-4o-mini,src,0.5765935182571411,0.8101069033145905,3,3,3,3,1
d9c706ae-af64-4839-a7f6-cb0962667ac7,"""Is a peaceful country one that promotes inclusion or exclusion; is it one in which everyone has equal opportunities?"" she said.",她 说 ： “ 一个 和平 的 国家 应该 促进 包容 还是 纵容 排斥 ； 它 是否 应该 让 所有人 都 享有 平等 的 机会 ？ ”,"""一个和平的国家是 promote inclusion 还是 exclusion 呢; 是一个每个人都有 equal opportunities 的国家吗?""她说。",baseline,full_gpt-4o-mini,src,0.6586320698261261,0.8090237677097321,2,2,3,2,3
7793c339-a624-4ace-a960-e373ad04afa4,"""Currently, since property prices in the UK are falling and outflow of capital starts occurring, keeping domestic economy and market system stable has been the top priority of the UK's new government.",“ 目前 英国 房地产 价格 下跌 、 资金 开始 流出 ， 稳定 国内 经济 及 市场 体系 成为 了 英国 新政府 的 当务之急 。,目前，因為英國的房價在跌，資本外流開始出現，保持本地經濟和市場系統穩定是英國新政府的首要任務。,baseline,full_gpt-4o-mini,src,0.7105453014373779,0.7953870892524719,3,3,3,3,1
183db7e5-1019-43fd-b114-bc71bdb44553,"""And for children often with wet clothes and sweat, skin rash will often be found on their body.""",“ 而 衣服 湿漉漉 ， 常 汗淋淋 的 孩子 ， 同时 常能 在 他 身上 看见 皮肤 红疹 。 ”,"""小朋友常常穿着湿湿的衣服和流汗，身上会常常发现皮肤 rash.""",baseline,full_gpt-4o-mini,src,0.6610271334648132,0.8016828000545502,2,2,3,2,2
722d7203-7390-4265-af75-6a5d673a9d48,"""It was utterly impossible to adopt internal telemetry technology in the past, because a tiny object cannot be put into a very deep place,"" explained he.",他 解释 说 ， “ 采用 体内 遥测技术 曾经 是 绝无 可能 的 ， 因为 无法 将 一个 超小 的 物体 放入 很深 的 地方 。,"""以前要用 internal telemetry technology 是完全不可能的，因为一个小东西根本放不进很深的地方,"" 他这样解释。",baseline,full_gpt-4o-mini,src,0.6394343376159668,0.8088357746601105,2,2,3,3,2
6a2ff19c-fcd8-4b67-beb8-d542c645b7c3,"""Based on the 12 water bottles we tested, we found that reusable drinking containers may be crawling with an alarming number of viable bacteria cells: more than 300,000 colony-forming units per square centimeter (CFU/sq cm),"" Treadmill Reviews said.","Treadmill   Reviews 表示 ： “ 基于 所 测试 的 12 只 水瓶 ， 我们 发现 可 重复使用 的 饮水 容器 可以 窝藏 数量 惊人 的 活菌 细胞 ： 每 平方厘米 菌落形成 单位 ( CFU ) 数量 超过 300 , 000 个 。 ”","根据我们测试的12个水瓶, Treadmill Reviews 说 reusable drinking containers 可能有非常多的 viable bacteria cells: 每平方厘米超过300,000 colony-forming units (CFU/sq cm)。",baseline,full_gpt-4o-mini,src,0.5568328648805618,0.8231942355632782,3,3,3,3,2
d2522252-a704-492a-ade8-c458f7ac72ae,"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"""根据我们测试的结果, 我们建议用 straw-top bottle, 因为 bacteria 很少而且没有 harmful germs,"" 这个网站说。",baseline,full_gpt-4o-mini,src,0.6036135405302048,0.8180154860019684,2,2,3,3,2
1c5132f9-e8cf-4b90-b16c-d23bec3cb45a,"""Breakfast and dinner are at eight o'clock,"" Ivan announced to the new intake at the welcome briefing as we set sail from the beautiful old port of Trogir, near Split.",当 我们 从 斯普利特 附近 风光秀丽 的 特 罗吉尔 老 港口 启航 时 ， 伊凡 在 欢迎 会上 向 初来乍到 的 人 宣布 ： “ 早餐 和 晚餐 均 安排 在 八点 。 ”,"""Ivan 宣布给新来的，早餐和晚餐是八点，"" as我们从美丽的古港 Trogir 出发，靠近 Split。",baseline,full_gpt-4o-mini,src,0.4286548048257828,0.8038674890995026,2,2,3,1,3
536a5991-a74a-46a0-a184-ef53c7b3663b,"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,"""你觉得 Ivan 有没有意识到他不是在跟一群小孩讲话?"" 一位瑞士骑士问, 我们在路边等信号过马路。",baseline,full_gpt-4o-mini,src,0.5369091331958771,0.8041296303272247,3,3,3,2,1
8f26cb9e-5168-42ae-b1ee-c981a2675950,"""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,"""到星期四早上，里面有 armed guards 在 sanctuaries, 然后 gates 变成 single file entry (有 metal barriers)，进来的时候 bags 也要被 search,"" 她跟 The Local 说。",baseline,full_gpt-4o-mini,src,0.595789298415184,0.8247863352298737,2,2,3,3,3
